id,d_c1_h,d_c1_s,d_c1_v,d_c1_pc,d_c2_h,d_c2_s,d_c2_v,d_c2_pc,d_c3_h,d_c3_s,d_c3_v,d_c3_pc
14,17.938977702938082,0.4170571461376148,0.5473503400395221,40.31,215.80236277925874,0.3913150319430531,0.22880684335394352,27.62,0.5637464826266133,0.3084581592448985,0.19741848532747328,16.86
17,30.81772518684714,0.390283271329393,0.9153998267421234,62.58,46.24133157046741,0.25316814511823776,0.940251350934064,18.52,17.036481522213986,0.5002073528742802,0.6708114673757791,16.26
24,233.80823193771437,0.5899780623165917,0.4931140218683257,36.43,90.11612518227457,0.5284129687942261,0.2635898134586822,26.86,202.4911367465775,0.6139453171604898,0.7712881876423922,21.6
25,3.169738544631582,0.3692478837239252,0.1355390011053686,51.08,34.4268719239154,0.7252360889728602,0.7527593848276304,34.48,346.5383901741243,0.8643296781307364,0.1542069724615292,5.4
26,20.717566593148884,0.5673046539663662,0.4543728348482034,50.02,0.06270061702934894,0.045821911233677,0.038534438308891465,26.47,35.78243188750694,0.4557065921517961,0.32251697383709177,14.63
28,192.61553886824854,0.2263270717169619,0.5279109475672235,21.88,338.8747985126411,0.5197342028324954,0.26268148931644325,20.98,259.2234608060894,0.4109866643861959,0.09958626038826747,18.09
31,21.978964422423907,0.6696716786482647,0.3750457616201364,38.18,6.357343881739948,0.52020637734508,0.24519747596661484,22.51,336.95695340263427,0.4032846008195164,0.23331247392573443,16.82
35,0.45496633594786434,0.03376282669133918,0.9669644795348198,62.52,57.77657359619352,0.21906828693495148,0.9330141312589113,19.16,30.112713286848738,0.5529087446356622,0.5781006642325134,12.19
40,1.7126353813235735,0.13184719629536595,0.06277076567678357,41.0,22.437318308467123,0.4850963229274277,0.4794658314289827,21.47,315.8204491227837,0.27259697303795544,0.08647376083353332,12.86
41,4.115065791765771,0.5240183845234632,0.2962802768165902,38.61,352.2073404803952,0.5496738705832419,0.2895116561282248,29.85,339.92161659342526,0.4125109243590728,0.35898740369327625,14.03
43,0.9962515865011049,0.18938309669018027,0.02802217925894661,59.75,35.39562091921362,0.5031426598563872,0.5417860288323453,26.32,121.40304561203267,0.8803160949527876,0.02458675778003676,4.95
46,227.48358149302464,0.4280427724790923,0.19564128561850275,27.52,33.71612291963737,0.497330037488995,0.5134869001523638,26.14,0.9888941564541975,0.0695019154176488,0.02420723183907888,26.02
49,2.3070170873016935,0.43866514358320513,0.13009712675141752,50.77,351.6562867565161,0.8858021070326618,0.2589440177150291,28.1,33.11343580075838,0.5874509533592783,0.5671222366086491,13.52
55,28.14567293553623,0.4606154378395113,0.7998762000852735,55.43,12.330174210863794,0.802717533089724,0.4295860706961554,36.18,130.43563304273744,0.9392417190020348,0.02830985915492995,2.76
57,48.62652540927468,0.06501252216960669,0.7411498766393577,36.7,21.780524973311593,0.14305068233222593,0.6533813525411128,25.53,338.6427418055936,0.4501131190609674,0.5185420039575295,15.26
59,34.200934476223075,0.5927692229101185,0.49342287711895855,33.4,184.29060368267545,0.4185859773357327,0.09857140814766403,22.81,262.0541290467881,0.44654796435989114,0.48997126970008514,19.11
61,253.2437976572601,0.39482528780417536,0.29734332042865963,46.21,240.5870029843961,0.41175913660902647,0.3912300637476403,37.85,283.67611791883263,0.4611765972250948,0.07531763076260589,6.55
