id,d_c1_h,d_c1_s,d_c1_v,d_c1_pc,d_c2_h,d_c2_s,d_c2_v,d_c2_pc,d_c3_h,d_c3_s,d_c3_v,d_c3_pc
880,127.43419652037164,0.5306232892333042,0.17391480489360647,32.75,62.20281578877419,0.395219180303842,0.6244254841575124,25.89,0.2038205947226764,0.010814991134599718,0.008498873720653537,20.17
1779,216.5009253092633,0.7400710421197486,0.3838689366662871,36.75,0.3174635073602691,0.08118052117461297,0.0028848788554295475,31.86,198.1975203690238,0.44857738247322776,0.700964816349109,17.26
2311,5.865411444253453,0.24027781599690953,0.148764428582603,72.04,218.72977452446787,0.5888991054898706,0.1076874710033398,12.49,108.33310650182167,0.4741577946916695,0.32950686861570533,6.49
2526,16.97142231617928,0.5747069723182778,0.333320567509995,49.58,48.84641283897625,0.5698604766337492,0.56072625373965,34.8,206.70441461382518,0.3697665553576044,0.33249946546931786,6.06
2578,45.88093122609066,0.4762596702294044,0.6329738660002925,61.5,9.024930290907992,0.7032659263981579,0.3284845781269954,25.92,354.35756393963277,0.640661307064277,0.5013171546645465,6.85
2658,239.79179783996761,0.291894695529259,0.5995436497952227,62.74,43.279045627118066,0.10343101695506068,0.894153439284926,22.68,269.34798541136666,0.06178813629295014,0.7037408027772603,6.8
2661,19.951471735747575,0.5743902635316355,0.4186898573549884,30.21,259.2850452378134,0.48931700076044515,0.4479152996686101,25.28,234.84777676681182,0.41552031788967625,0.5410855605227461,17.78
2663,10.690023553914443,0.5726649498162092,0.6186234025612884,35.84,47.56461228378683,0.5903636584653876,0.7761839110644456,22.1,224.88644625502897,0.692057652143782,0.28625610948188024,17.52
2665,235.7991672752719,0.4151699865030717,0.05541541238315816,30.21,193.75855554266437,0.4978541881961681,0.547046243963666,25.76,10.65417358399549,0.5422892837330591,0.4842461822854038,22.52
2666,234.1726334018287,0.22340953841219421,0.24940836703114394,44.44,259.0500851805537,0.24301713773262995,0.4033123577602398,27.37,56.99457353866677,0.7183422380939848,0.6287474156889071,11.58
2698,44.349135543650064,0.4141746394295898,0.7116159876697058,28.89,20.396650924549185,0.6817199939311204,0.7391218614618689,27.18,216.446245368033,0.561975259049702,0.1244267198404739,17.78
3354,1.0910481982460667,0.811270982643748,0.4449763191635554,55.19,356.2091644190377,0.9219854334946698,0.4685765970425279,30.81,16.29769862395332,0.7550109105406267,0.6282630834023812,8.84
3375,193.7295741176967,0.43016868142012576,0.2634322899363962,47.17,158.33269421571617,0.45907778014706924,0.2876901113436998,27.27,47.48764914758386,0.6934133945184512,0.9342107679192293,11.63
3464,7.705997855766791,0.7053100505409065,0.5771931841376491,48.75,319.7069006921993,0.3263157354609705,0.09780252435992522,14.63,296.4338491604803,0.3447987005782043,0.09603048708655779,13.92
3474,205.51391002425677,0.5180720931355599,0.47481342553124783,30.19,14.856591587216679,0.4406384439345432,0.4305014897327328,29.62,179.38234911451178,0.22471115492158014,0.737602047319186,22.73
3486,221.7124610474456,0.3610790428625689,0.5793271047817479,40.35,270.88002962610636,0.3737184707297064,0.5160200601540726,23.1,32.69535758892792,0.6558160793947592,0.5468187718929312,15.77
3659,231.48563361685734,0.7142530241807458,0.09041451713683717,29.53,53.281560344599804,0.6747927700665675,0.7485820849876954,29.3,14.658980579912571,0.7622903322835535,0.7126719386736299,26.92
3779,62.55843139101545,0.4673238572858336,0.782316830482645,28.42,245.77697626057136,0.2555399515844663,0.49872434145380606,23.64,217.0383317780867,0.24463137882350136,0.6129135564365747,18.87
3780,238.8368253822331,0.4913627389633131,0.3875435192135062,39.66,57.74953050642926,0.4482527825292568,0.8158051245928135,30.94,18.650272140203864,0.46104692896984256,0.6351196965072202,15.46
3934,187.68426364001917,0.2002671937675746,0.581048875065993,56.36,0.8493530951158065,0.006148466514658858,0.8142725669146519,17.58,335.7822963661776,0.04894659487600756,0.5075376884421953,9.88
3937,11.84113687728456,0.29273173750779896,0.3518815155450804,53.72,239.445362063584,0.5306567430482674,0.2742790408118292,16.29,257.42822814627624,0.3544292556603012,0.3874273454855215,15.03
4198,216.49040919181334,0.36598933087091245,0.3809079437067461,59.52,244.31965067725292,0.18680053949440206,0.4574294591192118,19.81,25.813139181611106,0.30770437583531945,0.6902515877292184,14.01
4400,62.14090568403824,0.5184009961530935,0.9390103617841034,59.05,155.07905961019608,0.5704568693783542,0.3053525567676381,25.49,49.16910547438476,0.5838703626029869,0.6774052287581728,5.83
4413,35.77071186605781,0.21934692377491238,0.7750515132209415,29.62,21.583240125975934,0.3304112125570651,0.7289244946692329,28.34,70.58465856322086,0.034411665074533186,0.7539493830496551,14.39
4414,19.46928017344014,0.21777449895558357,0.6633705314922856,35.52,52.24358093026571,0.3571667952337725,0.6543537674389358,18.79,345.23167415652995,0.3652610753560261,0.28137922198556164,13.98
4416,10.68132899681804,0.5148211754926431,0.5538701582576278,46.06,42.81735937641367,0.7259948484288572,0.8619736893627259,43.23,348.1889301095883,0.31012096330421524,0.4730222837174757,8.86
4813,4.241614792229377,0.43112176547879144,0.19903468773669925,38.3,52.20659586333466,0.638393102010675,0.7830862901950467,30.63,347.81137985611775,0.7862022260228854,0.4423617781534331,11.91
4942,8.519735487201253,0.6136772334622417,0.4424549399546247,67.83,239.85944877889605,0.1311851341233943,0.16395834669745454,8.92,214.4326453996377,0.2875289430385301,0.19660986312017437,8.44
