id,d_c1_h,d_c1_s,d_c1_v,d_c1_pc,d_c2_h,d_c2_s,d_c2_v,d_c2_pc,d_c3_h,d_c3_s,d_c3_v,d_c3_pc
48,8.359423767553062,0.5015768054567665,0.5350669178060395,25.32,204.6028688996735,0.6486752322459357,0.40259232844426723,22.13,48.567775280903746,0.5949118792894725,0.919952817348657,21.43
239,16.938756111662368,0.5880641592011628,0.730461669071638,30.36,198.1004899608859,0.8335002831107774,0.5818674572274019,28.32,277.1548446762755,0.4492003723679781,0.5842550370707948,18.06
244,5.157518904190032,0.41116073693265753,0.9116204176680517,38.74,136.8342910464528,0.582372118668254,0.6235622766217371,25.06,58.92624379435278,0.24283255339844761,0.8990015845943921,15.76
313,209.6554574267689,0.5938617001968124,0.6432667160744275,73.15,17.89256975740718,0.3577019285157652,0.6988347072795872,8.19,338.9203077164832,0.3893792790099122,0.550421772567935,6.45
551,244.22773911301763,0.5268964082469437,0.2897505719659695,56.24,224.729530039473,0.48242118763487385,0.3063734386676435,16.07,46.6169515270977,0.2868068865576646,0.8801026097527569,15.93
594,222.93639121275746,0.7068778424155995,0.3664158469746799,34.73,30.289330890796286,0.5430372011966986,0.7146106678792301,27.67,205.88154665020818,0.5841102009218913,0.6678392718336672,27.03
595,44.96451778390192,0.46682187707654593,0.8312353849060049,31.08,12.471406239012966,0.7571174898633759,0.45674310625691383,28.9,209.21962297969594,0.7271715931716501,0.4987542374146795,25.53
596,207.30358698244805,0.64470968860497,0.6064181872726568,52.23,241.42055998001086,0.39801920709550015,0.5084529525788721,18.06,9.053164174433403,0.6457206652837039,0.6291036962730325,13.91
616,223.86426679428794,0.7512717529532118,0.48039840178869236,31.14,18.93987878520797,0.5127505420002136,0.7498283718594599,24.82,288.1004134262727,0.41573420447464404,0.5915560324050025,12.26
741,11.436654532529518,0.2295955648689071,0.6826325382683093,48.65,171.12265027024463,0.2201543511554313,0.6921236291126543,30.29,55.91652736041522,0.0899504117028196,0.5753101822971,9.35
745,19.472774746235817,0.2859927232907163,0.6285287462154806,44.97,45.63040600145382,0.2345689594917596,0.5785607843137465,27.22,128.73221282870838,0.25733366020874604,0.4708765426650752,12.96
783,201.87288755174157,0.42419996316390507,0.7393142040894796,27.26,23.791015401691475,0.42278365395754497,0.7461167475564263,18.39,332.88425586312917,0.5639489637711937,0.5835041432871448,16.21
1022,249.5236267995811,0.8687299541624669,0.24654854666824394,39.82,228.51781184777386,0.6003576230833785,0.46327106061317214,14.66,331.16435819549883,0.6448233292232729,0.5262029618049042,14.05
1023,207.2289375554912,0.2572925835692392,0.9021635948557334,57.67,23.38292142232977,0.6197771295731416,0.7963129023474893,18.08,64.6804834285702,0.31623759714914385,0.6790548132270945,13.05
1024,225.35684630701098,0.6308047033059675,0.5657637612817041,41.33,45.67643492063782,0.5179772750836289,0.8498437885831528,21.31,19.894214077525316,0.6913945031406771,0.677388894299528,18.79
1025,39.416038748760066,0.15351071036417918,0.917770198753135,49.6,219.85305569364647,0.5328456994882345,0.6356384150910303,14.71,18.908152870132835,0.2990459063111648,0.8039871375609083,13.95
1029,204.39879126849635,0.4377438863108263,0.8419387398482673,46.8,350.5702100472166,0.45398828610950387,0.6224966728773054,21.49,42.17636851540962,0.560018304329031,0.8699523842950451,13.04
1033,18.767301472281794,0.4407422126210748,0.7142732813255392,47.05,67.64481379991065,0.16966595467171053,0.7237352493703137,26.84,343.9804123943973,0.29667948034289016,0.5702163483150564,9.33
1064,22.48214668629811,0.3999880172723358,0.7527515058310367,43.14,202.72395471657111,0.6884838454720281,0.738140245928902,20.08,229.67878488356686,0.4492619892783151,0.6135412059560704,17.59
1148,10.011087455713435,0.7147877512011981,0.37120956111245323,38.52,27.47501910979876,0.6110913689935518,0.5750034873886876,34.98,59.20800611363314,0.7018030408956871,0.7501549177918084,11.8
1151,1.4182360429468812,0.417691830108786,0.14113961093137362,61.23,21.762418129500894,0.7427065187684682,0.6512952292848487,20.03,350.9587974278505,0.8308004885394079,0.21498267291106057,13.77
1282,182.8200572809388,0.5691670410797082,0.49716908860027476,25.43,218.59107633246123,0.6279890759163087,0.29606655512011354,25.36,10.440933952763826,0.48108501616943333,0.07339291724318174,24.47
1489,211.40647294219164,0.4712844310788802,0.5182112998163063,28.47,46.75613019946563,0.3193551079437572,0.8762879331610908,26.61,15.536480492846723,0.47918027671908925,0.7054767973856453,23.33
1920,221.81515431315478,0.792421377785869,0.5288132328866936,36.03,290.2323757839039,0.5864032812599348,0.057821220373377794,22.09,247.04442109938785,0.6588769240029813,0.14053712288475123,15.07
2018,22.61921028401831,0.6092285444133132,0.5708082192009567,45.58,157.99800277500418,0.8427043190286206,0.306087296072445,31.44,122.74823229576828,0.4970133804517737,0.24660667088966912,10.47
2078,21.05269125369092,0.4172826866052771,0.5618737249999806,34.22,106.00001946608539,0.5186455061612382,0.3282935777235083,21.68,142.58734542974236,0.7671908973551437,0.30866552721070845,21.55
2080,41.49372765805005,0.1013262026424966,0.9681317465834783,42.03,49.76272063709991,0.5029708143653271,0.9231270495932105,22.88,28.41756283935004,0.31002604854673854,0.8599843725910837,21.23
2081,220.03100769418774,0.596269785166171,0.6892050768567413,41.86,194.23057698767,0.5090203052944956,0.7896476113192927,19.87,42.67695812881654,0.4049886603709959,0.8889463532610353,15.26
2087,48.19828789813583,0.17679771832683577,0.941212721355377,66.07,21.58276274857569,0.4275506828627598,0.7332895106466832,13.62,349.3557690023738,0.6045638793023977,0.8525593395253045,5.93
2096,269.51812752919074,0.5203521406308983,0.4946236803383707,31.81,224.39449487863664,0.5586703758176071,0.4087509077704856,21.67,11.077512980775854,0.5853443166832245,0.6043604327884294,14.8
2102,58.13853356313226,0.5128797478207767,0.9047425231640128,71.8,9.291397972008964,0.6728624449383702,0.6740377632534581,15.17,36.909511554268484,0.7245195080024376,0.5523902749954487,10.08
2123,233.12100533587633,0.7834781295082143,0.4398116547522855,46.05,160.93412703030697,0.5201732989407354,0.30033550372551354,17.44,17.93365315747016,0.7693834361972133,0.6795065724464832,14.28
2137,40.41285654641299,0.2826710726122712,0.7909978878639529,24.71,15.489114773845275,0.304792874219687,0.7261445584946032,23.18,227.78743249236257,0.31046798025829303,0.5418838831180404,19.43
2189,225.00012375832088,0.8708379233573605,0.7517179997325788,60.86,20.415450459567666,0.5027442867272073,0.7302880594363779,19.59,74.91495681507277,0.5506383293146024,0.6563715015920886,7.47
2354,28.31403805790532,0.6429568266964948,0.5554925345475491,34.56,65.93089962546671,0.6159194896076945,0.6663248863559996,26.97,272.54756940519985,0.4257525151686912,0.541193321078444,14.93
2394,25.539952365790946,0.6181442280787354,0.4837301244439894,29.12,278.1911508676394,0.5905530950529252,0.492307446802227,26.28,304.90678854262256,0.3454081480073128,0.6327165677190648,15.53
2495,208.52757639703918,0.5879416115339566,0.735463745143034,50.42,44.001353463713116,0.7862330836993824,0.8004734921180064,42.85,11.453974603873007,0.6192348262351661,0.6003713735711473,4.77
2559,341.08222782738744,0.4200363352982836,0.5499925592580774,25.62,209.8258688182382,0.4858072767378264,0.43273349768591696,22.32,228.82163664713133,0.37549753675449277,0.4220553969540608,19.47
2566,206.33579129146733,0.5652768603480938,0.7534122967541956,53.31,172.53927182980854,0.42075632730434104,0.5228664380550624,15.18,62.98773381444132,0.6011139228875843,0.7693515393801112,11.01
2700,8.918233819225433,0.772732291314049,0.6256646281234495,34.47,35.32939328646342,0.4784828348303333,0.7541682301907555,30.48,203.86675353235165,0.13723509911514564,0.5916350775682138,17.71
2810,210.86140300399344,0.9784564243069834,0.46156703036644936,52.52,0.15100387111774716,0.0542578791457526,0.0021619046665042035,34.25,234.53477198653383,0.8531681484449235,0.06665198561256769,8.83
2876,198.22524332560107,0.5602351150136746,0.8958017664071841,36.97,334.6973703255577,0.6875491773395311,0.7883305670747457,22.81,23.92059649406261,0.6010750022513504,0.7827368265882845,18.62
3159,334.5123900630334,0.861784963677962,0.4252116167944477,49.75,18.946990024468896,0.5926272911072773,0.7146389309539307,12.61,214.62712429277673,0.6862787776639846,0.4822822487628838,12.3
3213,206.81408623660582,0.7067096080846639,0.5495575182411564,43.45,195.17134920804077,0.6678761699844112,0.7142548554772156,41.83,0.9431882658278777,0.2742915767080594,0.04089945874183014,5.97
3287,34.177782090463154,0.36443717310281853,0.769258450137525,43.93,15.248965696411895,0.6289164320310459,0.7550147226126404,22.79,56.129474573283936,0.30600527422895285,0.6747322434912372,20.46
3429,16.15869410655563,0.25592193389500967,0.8156410667950196,30.48,71.3439077805846,0.07459496499894694,0.9314518233085904,24.37,208.5857276297149,0.06690523820152247,0.8714460493569091,17.53
3483,111.58249698703729,0.6672415019575068,0.3613210823781695,31.39,20.725845576724552,0.6802670375865498,0.6117068170169337,18.97,46.2878193335986,0.539370292661826,0.6109149903210398,18.0
3592,230.50516900506972,0.5057924091313165,0.383815714652966,35.74,11.074828015186998,0.641612085697969,0.7869184069001625,26.73,210.9431886191608,0.4915407503671539,0.32057361126268746,26.2
3611,36.05328882779489,0.5694145934500745,0.7483274635065815,26.18,193.5146732368593,0.3988097096753017,0.8442153120509903,25.98,146.97213697259505,0.7091229122139722,0.5758467405854706,18.11
3725,232.33962242213244,0.11754237839960471,0.9486232504190254,64.04,13.138169187096905,0.4462352848960818,0.5393539612376602,14.17,249.3579253303933,0.13050365268373007,0.8511194137921143,9.7
3751,199.93828681369857,0.7373045027470945,0.9018644637767274,40.93,28.425774597420656,0.7320992086802801,0.853652999352012,24.18,56.067881724113484,0.4467538014452461,0.8651214237095078,13.89
3759,199.66511258094295,0.7023368837681156,0.8625006460514849,54.59,31.61900962176858,0.5560771074336542,0.7506295667577243,15.5,82.04260354653012,0.4827333441444766,0.747449692136116,13.02
3775,241.78725229237148,0.39748499995473185,0.49571000246158303,37.79,41.24965700166042,0.624738604043882,0.6856684850225104,27.09,267.38207026256316,0.3708343439378441,0.483391961187654,25.52
